Year,Month,Neurons,Authors,Method,Source,Publication,Method Note,DOI
1996,7,51,Nordhausen et al.,Ephys,Stevenson,Brain Research,,https://doi.org/10.1016/0006-8993(96)00321-6
1996,7,15,Chang et al.,Ephys,Stevenson,Neuroscience,,https://doi.org/10.1016/0306-4522(96)00144-3
1996,12,29,McHugh et al.,Ephys,Stevenson,Cell,,https://doi.org/10.1016/S0092-8674(00)81828-0
1997,4,32,Chang et al.,Ephys,S&K,Brain Research,,https://doi.org/10.1016/S0006-8993(97)00012-7
1997,4,100,Nicolelis et al.,Ephys,S&K,Neuron,,https://doi.org/10.1016/S0896-6273(00)80295-0
1997,1,1,Svoboda et al.,Imaging,Svoboda,Nature,Calcium <--> spikes,https://doi.org/10.1038/385161a0
1998,6,16,Prut et al.,Ephys,S&K,Journal of Neurophysiology,,https://doi.org/10.1152/jn.1998.79.6.2857
1998,7,21,Rousche and Normann,Ephys,Stevenson,Journal of Neuroscience Methods,,https://doi.org/10.1016/S0165-0270(98)00031-4
1998,9,34,Brown et al.,Ephys,Stevenson,Journal of Neuroscience,,https://doi.org/10.1523/JNEUROSCI.18-18-07411.1998
1998,11,135,Nicolelis et al.,Ephys,Stevenson,Nature Neuroscience,,https://doi.org/10.1038/2855
1999,2,15,Villa et al.,Ephys,S&K,Proc. of the National Academy of Sciences,,https://doi.org/10.1073/pnas.96.3.1106
1999,7,46,Chapin et al.,Ephys,S&K,Nature Neuroscience,,https://doi.org/10.1038/10223
1999,7,68,Normann et al.,Ephys,Stevenson,Vision Research,,https://doi.org/10.1016/S0042-6989(99)00040-1
1999,11,5,Kay et al.,Ephys,Stevenson,Nature Neuroscience,,https://doi.org/10.1038/14801
1999,12,23,Chapin and Nicolelis,Ephys,S&K,Journal of Neuroscience Methods,,https://doi.org/10.1016/S0165-0270(99)00130-2
1999,12,62,Williams et al.,Ephys,Stevenson,Brain Research Protocols,,https://doi.org/10.1016/S1385-299X(99)00034-3
2000,1,52,Porada et al.,Ephys,Stevenson,Journal of Neuroscience Methods,,https://doi.org/10.1016/S0165-0270(99)00139-9
2000,6,30,Isaacs et al.,Ephys,S&K,IEEE TNSRE,,https://doi.org/10.1109/86.847814
2000,6,32,Laubach et al.,Ephys,S&K,Nature,,https://doi.org/10.1038/35014604
2000,8,31,Chang et al.,Ephys,S&K,Neuroscience,,https://doi.org/10.1016/S0306-4522(00)00218-9
2000,11,100,Wessberg et al.,Ephys,S&K,Nature,,https://doi.org/10.1038/35042582
2001,5,23,Normann et al.,Ephys,Stevenson,Vision Research,,https://doi.org/10.1016/S0042-6989(00)00273-X
2001,11,32,Giszter et al.,Ephys,S&K,Robotics and Autonomous Sys,,https://doi.org/10.1016/S0921-8890(01)00159-2
2002,6,64,Taylor et al.,Ephys,S&K,Science,,https://doi.org/10.1126/science.1070291
2003,7,68,Harris et al.,Ephys,Stevenson,Nature,,https://doi.org/10.1038/nature01834
2003,7,247,Nicolelis et al.,Ephys,S&K,Proc. of the National Academy of Sciences,,https://doi.org/10.1073/pnas.1934665100
2003,8,96,Csicsvari et al.,Ephys,Stevenson,Journal of Neurophysiology,,https://doi.org/10.1152/jn.00116.2003
2003,10,90,Carmena et al.,Ephys,S&K,PLoS Biology,,https://doi.org/10.1371/journal.pbio.0000042
2003,6,35,Stosiek et al.,Imaging,Meijer,PNAS,,https://doi.org/10.1073/pnas.1232232100
2004,1,19,Paninski et al.,Ephys,Stevenson,Journal of Neurophysiology,,https://doi.org/10.1152/jn.00587.2002
2004,1,19,Laubach,Ephys,Stevenson,Journal of Neuroscience Methods,,https://doi.org/10.1016/j.jneumeth.2003.11.007
2004,3,143,Hatsopoulos et al.,Ephys,S&K,Journal of Neurophysiology,,https://doi.org/10.1152/jn.01245.2003
2004,6,185,Sanchez et al.,Ephys,S&K,IEEE BME,,https://doi.org/10.1109/TBME.2004.827061
2004,7,55,Patil et al.,Ephys,S&K,Neurosurgery,,https://doi.org/10.1227/01.NEU.0000126872.23715.E5
2004,7,64,Stein et al.,Ephys,S&K,Canadian Journal of Physiology and Pharmacology,,https://doi.org/10.1139/y04-075
2004,7,45,Bartho et al.,Ephys,Stevenson,Journal of Neurophysiology,,https://doi.org/10.1152/jn.01170.2003
2004,10,90,Stein et al.,Ephys,Stevenson,Journal of Physiology,,https://doi.org/10.1113/jphysiol.2004.068668
